This sheet brings together all the data and decides on the classification,,,,,,Min_class=,20,arcsec,Guard-band,5,arcsec,,,,,,,,,
name,validity flag,Comment,A,B,C,PA,RA centroid,Dec centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L_{888},ABS_MAG,flux
J212719.7-522219,1,frx,22.36067977,42.56448807,22.7640678,98.36604899,321.8312512,-52.37050434,FRx,321.8321681,-52.3719195,321.832162,-52.371878,20.4938,321.8321554,-52.37188089,0.8102991,2.2E+25,-23.10440896,0.004907729
J212720.6-571300,4,DDRG,100.7,136.5834,28.18,333.71164,321.8395226,-57.21936681,FR2,321.8358327,-57.2168008,321.835684,-57.216546,23.5789,0,0,0,0,0,0.009546573
J212724.0-603123,4,fr2,30.8,54.0368,19.472,107.281498,321.8499387,-60.52276936,FR2,321.8501776,-60.5230073,321.849581,-60.522783,24.6326,321.8507139,-60.52239953,0,0,0,0.000517906
J212726.1-482435,4,"fr2,cD",150,182.3226,45.074,353.12518,321.8533069,-48.41001267,FR2,321.8587032,-48.4096716,321.858666,-48.409644,17.9055,321.8586632,-48.40965072,0.29830688,4.07E+24,-23.10437046,0.00857405
J212723.5-524039,0,single,0,0,0,0,0,0,NA,321.8478964,-52.6775419,321.847702,-52.677513,23.73,0,0,0,0,0,0.010218107
J212728.4-572223,4,fr2,58.8,87.4262,33.7551,325.94064,321.8715904,-57.3730805,FR2,321.8684802,-57.3731102,321.868338,-57.37314,20.4955,0,0,0,0,0,0.044691087
J212729.7-493722,3,frx,12.3,31.16485659,19.09830406,0.121569371,321.8754116,-49.62207644,FR1,321.8736647,-49.6227275,321.873695,-49.622814,21.6468,321.8736972,-49.62281916,0.6634467,0,0,0.002906041
J212731.6-583743,1,fr2,72.11102551,96.04765502,36.08278701,145.556367,321.8730463,-58.62475173,FR2,321.8817991,-58.6285403,321.8823,-58.628743,24.0484,0,0,0,0,0,0.015691711
J212735.2-572543,4,djs,0,38.187,16.0267,331.92752,321.8952193,-57.4282181,SINGLE,321.896474,-57.4286063,321.896611,-57.42863,21.1141,0,0,0,0,0,0.0000958
J212750.0-602626,0,isolated,0,0,0,0,0,0,NA,321.9584111,-60.4405242,321.958442,-60.440513,18.0047,321.9584493,-60.44051744,0.17400077,2.19E+23,-21.68633348,0.001073431
J212749.8-594317,4,"fr2,cD",31.2,52.4256,22.071,51.34018,321.9595876,-59.71986674,FR2,321.9576478,-59.7213064,321.957547,-59.72131,19.7814,321.9575409,-59.72131351,0.46366844,2.92E+24,-22.34974698,0.005176492
J212751.8-511934,1,djs,0,22.80269908,13.5684482,140.039383,321.9663288,-51.32634769,SINGLE,321.9659146,-51.3261017,0,0,0,0,0,0,0,0,0.000983369
J212752.3-552208,1,frx,45.607017,90.8366389,48.59826784,162.8211966,321.9683946,-55.36965881,FRx,321.9680782,-55.368881,321.968209,-55.368957,19.2486,321.9682091,-55.36895905,0.28682214,0,0,0.143428639
J212753.0-515021,4,"fr2,bt",47.8,69.8984,33.0078,90,321.9729633,-51.84245516,FR2,321.9708884,-51.8391134,321.970603,-51.839091,24.5298,0,0,0,0,0,0.001246425
J212757.7-551655,1,fr2,0,70.78643407,20.77745922,161.6165029,321.9869172,-55.28143573,SINGLE,321.9903619,-55.2820665,321.990379,-55.282031,21.1864,321.9940561,-55.2805818,0,0,0,0.003949941
J212759.4-550342,1,djs,0,36.72963847,21.57100042,178.6366249,321.9975274,-55.06086423,SINGLE,321.9976967,-55.0616676,321.997675,-55.061691,20.9338,321.997665,-55.06169763,0.7121387,0,0,0.003955989
J212803.8-544651,4,fr2,57.7,93.8482,36.893,321.34018,322.0205154,-54.78108425,FR2,322.0157165,-54.7809294,0,0,0,0,0,0,0,0,0.001324976
J212807.3-494421,1,djs,0,54.49008245,35.62605229,82.14806005,322.0308095,-49.73975801,SINGLE,322.0305035,-49.7392844,322.030511,-49.739264,17.9526,322.0305037,-49.73926942,0.21350957,0,0,0.087322071
J212808.1-583604,1,frx,30,61.53942782,30.78102889,37.36035731,322.0337044,-58.60039439,FRx,322.0338469,-58.6012233,322.033774,-58.600984,24.22,0,0,0,0,0,0.078409836
J212809.9-603339,4,djs,0,88.6693,31.7131,102.468028,322.0487427,-60.5614324,SINGLE,322.0413922,-60.560812,322.041189,-60.560945,17.2485,322.0411822,-60.56094305,0.28083453,4.05E+24,-23.61092071,0.013216794
J212811.0-501340,4,djs,0,42.0703,16.8281,90,322.0456204,-50.22713359,SINGLE,322.0459369,-50.2278192,322.045952,-50.227825,20.8128,322.045947,-50.22782782,0.6379884,0,0,0.000459335
J212818.2-520640,1,frx,23.40939982,49.51405703,26.23722747,73.31407741,322.0782658,-52.11011193,FRx,322.0760001,-52.1112326,322.076095,-52.111263,19.1341,322.0760911,-52.11125103,0.1385321,9.59E+23,-20.01480393,0.018199978
J212822.0-572117,0,isolated,0,0,0,0,0,0,NA,322.0917832,-57.3547954,322.091685,-57.354745,20.5997,0,0,0,0,0,0.000933673
J212826.9-550526,4,fr2,52.2,96.4375,27.1797,0,322.1147075,-55.09311366,FR2,322.1120463,-55.0904792,322.112034,-55.090516,16.8824,0,0,0,0,0,0.02764538
J212829.5-574308,1,djs,0,37.69974122,23.05555332,65.90087791,322.1227191,-57.71904654,SINGLE,322.1228249,-57.7189812,322.123021,-57.719023,23.5507,0,0,0,0,0,0.005282422
J212830.8-514507,1,frx,32.24903099,66.91207191,32.75544029,96.90548879,322.1298601,-51.7522259,FRx,322.1283406,-51.7520271,322.128325,-51.752028,21.8175,322.1283284,-51.75201812,0.8384921,0,0,0.147907953
J212834.2-544627,1,fr1,14.14213562,36.96615865,16.6383378,95.29070053,322.1428201,-54.77450039,FR1,322.1423142,-54.7743024,322.142156,-54.774317,24.2456,0,0,0,0,0,0.002874529
J212841.2-602157,4,"fr2,bt",44.2,157.6236,119.0537,106.38954,322.130961,-60.3727971,FR1,322.1716675,-60.3659286,322.171644,-60.365909,15.6741,322.1716414,-60.36591285,0.09647585,7.56E+23,-22.63013563,0.021357288
J212838.2-490024,4,"fr2,cD,bt",89.1,125.5625,64.0742,0,322.1643795,-49.00997892,FR2,322.1591381,-49.0065984,322.159167,-49.006585,16.671,322.1591607,-49.00659114,0.16834134,3.11E+24,-22.94086698,0.035564906
J212845.1-550153,1,djs,0,40.96052193,25.2456981,104.8348949,322.1873773,-55.03152657,SINGLE,322.1877142,-55.0313534,322.186984,-55.031281,24.7604,0,0,0,0,0,0.016318526
J212845.5-611601,0,single,0,0,0,0,0,0,NA,322.1894226,-61.2670329,322.189306,-61.266621,23.1935,322.1895745,-61.26975966,0,0,0,0.0000941
J212852.0-605922,1,fr2,46.69047012,68.86592009,20.42498389,131.860218,322.2103605,-60.9877717,FR2,322.2168218,-60.9895167,322.216849,-60.989534,23.6172,322.2116779,-60.98885192,0,0,0,0.005897741
J212853.9-562810,4,djs,0,46.6439,19.4175,313.36343,322.2236174,-56.46985685,SINGLE,322.2243911,-56.4694969,322.224232,-56.469504,23.1799,322.2250154,-56.4687411,0,0,0,0.000815979
J212902.9-530632,4,fr2,87.5,108.2969,16.5073,30.496258,322.263202,-53.10803216,FR2,322.2621494,-53.1088247,322.262263,-53.10873,22.7388,322.2622587,-53.10874784,0.9137662,1.06E+25,-21.17989351,0.001589767
J212903.2-580055,4,fr2,168,214.2325,33.8413,4.472547,322.2629635,-58.01727133,FR2,322.2634088,-58.015278,322.263301,-58.015066,19.8296,322.263308,-58.01506579,0.40776324,1.39E+25,-21.97099869,0.012426762
J212908.9-520619,4,frx,25.3,87.7045,26.5403,18.052132,322.3255856,-51.43102178,FR1,322.2872203,-52.1053345,322.28759,-52.105399,17.675,322.2875968,-52.10540172,0.14360745,0,0,0.00068129
J212909.8-621057,1,fr2,38.41874542,63.19124427,25.09640492,125.7691385,322.2920426,-62.18204647,FR2,322.2907045,-62.1823935,322.29117,-62.182321,24.3135,0,0,0,0,0,0.011462409
J212914.5-555442,0,complex,0,0,0,0,0,0,NA,322.3105812,-55.9116377,322.310404,-55.911567,20.3899,322.3104377,-55.91158348,0.6480464,0,0,0.014168627
J212917.5-512602,4,"fr2,cD",68.5,88.3804,22.4042,18.691977,322.3254005,-51.43134914,FR2,322.3229171,-51.4338274,322.322962,-51.433689,20.28,0,0,0,0,0,0.001120881
J212919.0-505304,0,BT photo,0,0,0,0,0,0,NA,322.3293125,-50.884405,322.329335,-50.884403,14.9183,0,0,0,0,0,0.3819178
J212919.2-494700,1,fr2,80.04998438,109.0671085,36.17586364,107.4270751,322.3253558,-49.78493101,FR2,322.329796,-49.7830756,322.329308,-49.78345,23.2427,322.3305563,-49.7826643,0,0,0,0.022255853
J212921.4-515249,4,djs,0,68.6374,19.9844,95.194429,322.3377406,-51.88119286,SINGLE,322.3389923,-51.880258,322.338898,-51.880292,18.5726,322.3388714,-51.88029307,0.33338007,0,0,0.000546157
J212921.7-571753,4,fr2,47.1,78.3141,31.5565,354.3363,322.3396853,-57.29778021,FR2,322.340272,-57.2979266,322.34026,-57.297914,17.5877,322.340259,-57.29791065,0.353902,5.89E+24,-23.85210753,0.145031312
J212923.4-565057,4,fr2,56.3,91.3112,21.8034,4.9341645,322.3491551,-56.8576317,FR2,322.3476674,-56.8490524,322.347714,-56.849054,19.0349,322.3477189,-56.84905341,0.3685193,3.06E+24,-22.50758056,0.001789058
J212924.4-484046,1,fr2,48.82622246,86.27693386,37.35078986,55.81538233,322.350936,-48.67909072,FR2,322.3516109,-48.6794603,322.351433,-48.679544,20.626,322.3514406,-48.67954339,0.65963024,1.75E+26,-22.42661138,0.075977076
J212925.3-481326,0,out of field,0,0,0,0,0,0,NA,322.3555915,-48.2239548,322.355631,-48.223937,18.1624,322.3556327,-48.22394317,0.282202,0,0,0
J212925.4-555140,4,frx,32.8,75.3325,42.2526,51.34018,322.3556367,-55.8609916,FR1,322.3558189,-55.8609837,322.355816,-55.8609,22.193,322.3558207,-55.86090445,1.0096414,2.32E+27,-21.99242346,0.331950245
J212928.3-534922,1,fr1,22.8035085,61.81605539,42.1727753,83.70989774,322.3692894,-53.82262615,FR1,322.3677167,-53.8228424,322.367714,-53.822803,18.0138,322.3677015,-53.82285154,0.2286288,2.09E+25,-22.33835625,0.12895978
J212954.4-534013,4,fr2,330.6,392.1354,42.1091,74.0546,322.4623566,-53.67668157,FR2,322.4764976,-53.6703444,322.47634,-53.670076,24.1748,0,0,0,0,0,0.032992269
J212948.1-590946,1,djs,0,25.21638851,11.21806413,102.6531272,322.4511298,-59.16255252,SINGLE,322.4503273,-59.1627526,322.450832,-59.162351,24.5562,322.4492672,-59.16342037,0,0,0,0.000927398
J212949.3-494558,1,djs,0,42.74596407,26.04939024,169.0258483,322.4551755,-49.76597772,SINGLE,322.4554606,-49.7661365,322.455232,-49.766046,18.678,322.455231,-49.76605357,0.37802455,0,0,0.014215303
J212952.2-592717,4,bt,26.4,43.8008,30.6094,0,322.4722548,-59.4547131,FR2,322.4673906,-59.4548037,322.467435,-59.454853,20.7746,0,0,0,0,0,0
J212954.8-550455,4,fr2,83.5,113.5554,36.79,332.20956,322.4805671,-55.08182038,FR2,322.4782718,-55.0820029,322.477591,-55.081777,22.6777,322.4775953,-55.08177584,0.78610235,8.77E+25,-20.83983548,0.020941065
J213000.0-564028,1,djs,0,35.35189593,24.02934492,19.48582222,322.4999753,-56.67424663,SINGLE,322.4998529,-56.6743417,322.499916,-56.67435,18.0749,322.4999172,-56.67435377,0.2884673,0,0,0.004517535
J213002.6-620501,4,"fr2,cD",75.6,93.9352,22.6927,97.989327,322.5100558,-62.08375359,FR2,322.5108999,-62.0837029,322.510827,-62.08378,23.3922,0,0,0,0,0,0.004045132
J213003.6-615156,4,"frx,CD",37.5,52.6417,33.2347,328.49573,322.5123701,-61.86684341,FR2,322.5151083,-61.8655966,322.515008,-61.865558,23.7024,322.5155646,-61.86757734,0,0,0,0.001135879
J213007.0-613855,1,fr2,52.03844733,80.44655158,36.83918121,2.547100755,322.5302014,-61.64789917,FR2,322.5291047,-61.6484817,322.529322,-61.648745,23.162,322.5292072,-61.64875691,1.1647264,5.2E+26,-21.4059258,0.050018965
J213012.0-535550,1,djs,0,53.35655971,19.57728455,129.7192981,322.5505818,-53.93087756,SINGLE,322.5500231,-53.9304829,322.549921,-53.930545,20.3458,322.5499134,-53.93054615,0.42216375,0,0,0.006406511
J213013.4-543825,4,fr2,21.5,39.4874,20.949,57.99463,322.5552634,-54.64030956,FRx,322.5556599,-54.6403052,322.555747,-54.640139,23.8126,0,0,0,0,0,0.000235525
J213017.0-582504,0,isolated,0,0,0,0,0,0,NA,322.5709403,-58.4176729,322.570695,-58.41753,20.3958,322.5707026,-58.41754772,0.42075434,0,0,0.085361215
J213019.1-590051,4,fr2,52.5,83.6549,31.2411,351.8535,322.5805522,-59.01330017,FR2,322.5795796,-59.0142234,322.579452,-59.014302,20.1249,322.5794505,-59.01430573,0.41402417,6.07E+24,-21.7147378,0.007074051
J213019.6-503930,4,fr2,24.8,41.5,24.2095,18.886087,322.5815176,-50.65930654,FR2,322.5815902,-50.6584641,322.581613,-50.658455,21.2254,322.5816017,-50.65845755,0.56918156,0,0,0.000277875
J213020.1-541755,4,fr2,38.7,69.7465,27.6701,347.4712,322.5842686,-54.29965343,FR2,322.5838057,-54.2984986,322.584226,-54.298659,20.6081,322.5842239,-54.29865817,0.55756557,6.05E+24,-22.00264532,0.002717261
J213023.0-603248,4,"fr2,cD",119.2,175.8047,67.4375,0,322.5885125,-60.55227555,FR2,322.5959063,-60.5466999,322.595896,-60.546714,17.2812,322.595907,-60.54671444,0.1843842,2.47E+24,-22.54905926,0.021043646
J213018.1-540834,4,fr2,138,161.6917,33.3878,49.3374,322.575048,-54.14485271,FR2,322.575332,-54.1427923,322.575298,-54.142764,21.5506,322.575285,-54.14275968,0.84820837,2.78E+25,-22.1694249,0.001810643
J213025.7-585046,1,fr2,40.04996879,73.22617135,47.45535507,179.0582521,322.6049501,-58.84552714,FR2,322.6069622,-58.8460963,322.606638,-58.846037,21.4403,0,0,0,0,0,0.150841598
J213026.4-495317,4,"fr2,cD",39.1,63.6257,21.7483,313.49255,322.6050539,-49.88598803,FR2,322.6099405,-49.8880045,322.609805,-49.887954,18.5191,322.6125067,-49.88836912,0,0,0,0.002243218
J213026.7-503735,4,fr2,32.2,50.1397,18.4604,85.16095,322.6118657,-50.62622587,FR2,322.6112819,-50.6264569,322.611256,-50.626359,21.0222,322.6112601,-50.62635688,0.61848426,1.14E+25,-21.86063176,0.004806628
J213027.9-545128,1,fr2,72.80109889,120.4107344,42.44498963,126.4260509,322.6139417,-54.85756811,FR2,322.6162418,-54.8578832,322.616197,-54.857729,20.661,322.6161939,-54.85772881,0.632477,8.16E+26,-22.28074128,0.390602541
J213025.7-501905,3,fr2,58.3,79.72693167,21.72944932,160.7139932,322.6088096,-50.32020068,FR2,322.6069547,-50.3180432,322.607218,-50.31779,20.5026,322.6072106,-50.31779655,0.3997664,3.41E+24,-21.24732122,0.004259379
J213027.9-482500,0,nohost fr2,0,0,0,0,0,0,NA,322.6163917,-48.4167912,322.616343,-48.416856,18.2179,0,0,0,0,0,0.013525689
J213034.0-610231,1,fr2,54.33231083,79.72359029,27.65096683,5.840395959,322.6437519,-61.04326789,FR2,322.6418153,-61.0418543,322.64174,-61.04181,19.6344,0,0,0,0,0,0.014816379
J213035.9-515125,3,frx,14.7,27.46807167,12.13253373,55.89482706,322.6506794,-51.85730553,FRx,322.6496858,-51.857054,322.650179,-51.856759,19.9122,322.6501816,-51.85676612,0.30713308,5.46E+23,-21.17061288,0.000961517
J213041.1-622737,1,djs,0,33.98748093,22.05785031,50.96053855,322.6705089,-62.46064357,SINGLE,322.6713242,-62.4601609,322.671378,-62.460118,20.4507,0,0,0,0,0,0.007769936
J213041.9-500645,4,"djs,bt",0,36.8906,29.3984,0,322.6776623,-50.11171565,SINGLE,322.674677,-50.1124141,322.674901,-50.112407,17.5844,322.674904,-50.11241151,0.26872346,6.67E+23,-23.16559483,0.001969692
J213044.6-630017,1,fr2,33.52610923,56.59485738,24.49003451,109.1172103,322.6865082,-63.0049102,FR2,322.6859831,-63.0047399,322.686047,-63.00491,22.5225,322.6860554,-63.00490872,0.9434695,4.94E+25,-21.48166028,0.007265994
J213048.1-542022,1,djs,0,48.35203935,43.81150452,90.41848477,322.7000045,-54.33893054,SINGLE,322.7006055,-54.3394361,322.700835,-54.339339,22.7022,0,0,0,0,0,0.218154208
J213050.1-533328,1,"fr2,cD",40.79215611,62.58532425,42.60737175,160.2154148,322.7084292,-53.5574591,FR2,322.7089174,-53.5576849,322.708924,-53.557665,18.5425,0,0,0,0,0,0.038465238
J213053.3-485728,0,"complex, maybe head-tail",0,0,0,0,0,0,NA,322.722083,-48.9577396,322.722107,-48.957739,18.4446,322.7221129,-48.95774451,0.2370528,0,0,0.162847962
J213055.3-515243,1,djs,0,37.94620241,17.97572399,114.3531378,322.7311662,-51.87872836,SINGLE,322.7304153,-51.878712,322.730329,-51.878692,19.8362,322.7303161,-51.87869211,0.4580067,0,0,0.003181741
J213058.1-514443,4,djs,0,95.106,22.481,4.159642,322.7426311,-51.74581638,SINGLE,322.7422506,-51.7453213,322.742289,-51.745328,17.9065,322.7422801,-51.74533355,0.31844583,2.26E+24,-23.26703495,0.005018803
J213103.3-483730,1,fr2,31.6227766,52.39865158,25.42375126,142.2417357,322.7642437,-48.62306189,FR2,322.7637252,-48.6250266,322.763736,-48.62501,18.6506,322.7637374,-48.62501428,0.32785708,2.64E+24,-22.59617541,0.005949447
J213106.4-493556,1,fr2,39.69886648,63.923812,23.24814134,131.0479713,322.7762208,-49.59894818,FR2,322.7767767,-49.5990017,322.776705,-49.599,18.6482,322.7767062,-49.59900618,0.42414886,1.08E+25,-23.25342736,0.013830046
J213107.1-550436,1,djs,0,29.70927524,17.29051491,179.4722757,322.7795907,-55.07667959,SINGLE,322.7795849,-55.0766341,322.779622,-55.076631,23.6047,322.7798278,-55.07539242,0,0,0,0.002116261
J213112.4-523535,3,frx,32.7,56.06352416,24.86303146,103.4081995,322.8055325,-52.59286389,FR2,322.8018254,-52.5929645,322.801829,-52.592698,18.3543,322.8018243,-52.59269647,0.25535825,0,0,0.015031293
J213115.0-581518,4,frx,19.1,36.2093,16.6048,127.450577,322.8132997,-58.25579936,FRx,322.8126564,-58.2549875,322.812936,-58.254998,22.6112,322.8129308,-58.25498827,0.6960365,2.46E+24,-20.58343555,0.000283598
J213121.0-521101,1,djs,0,26.5390851,17.71520772,40.32120585,322.8382626,-52.18283854,SINGLE,322.8376786,-52.183507,322.837249,-52.183859,18.6718,0,0,0,0,0,0.002113837
J213122.8-495603,1,fr2,30.46309242,54.15725387,22.13178122,66.81351668,322.843526,-49.93481593,FR2,322.8449776,-49.9342889,322.845211,-49.934127,25.8333,322.8427746,-49.93503376,0,0,0,0.008070034
J213125.3-543202,1,djs,0,55.52060387,30.9951078,111.1641159,322.8543632,-54.53391157,SINGLE,322.8554343,-54.5340161,322.85477,-54.53408,21.6135,322.8577995,-54.53358188,0,0,0,0.10127592
J213124.3-524816,4,fr2,65.7,94.2843,23.6022,68.19858,322.8573462,-52.80376259,FR2,322.8513379,-52.8043761,322.851392,-52.804424,19.6587,0,0,0,0,0,0.067223811
J213129.3-541024,4,fr2,30.5,59.6113,32.5766,15.350137,322.8716095,-54.17323561,FRx,322.8720079,-54.1732254,322.871638,-54.173246,28.5847,0,0,0,0,0,0.057450154
J213141.9-565208,4,fr2,110.8,151.0181,27.6586,85.68396,322.9228883,-56.87036613,FR2,322.9245081,-56.8689657,322.923915,-56.869226,22.6384,0,0,0,0,0,0.074816573
J213137.2-495019,4,"fr2,cD",34.02,48.3899,20.1735,333.43494,322.9031674,-49.83892019,FR2,322.9052025,-49.8387302,322.904555,-49.83859,24.399,0,0,0,0,0,0
J213136.8-582249,4,fr2,25.7,57.4519,28.1111,310.65256,322.9047787,-58.38044779,FR1,322.903315,-58.3803079,322.903043,-58.380007,21.8072,322.9030628,-58.38000754,0.8741841,1.31E+27,-21.9932765,0.285399057
J213137.7-501601,1,fr2,23.40939982,41.65478724,19.57814376,161.2143554,322.9079413,-50.2671902,FR2,322.9071126,-50.2669528,322.907205,-50.266921,24.0415,0,0,0,0,0,0.003692429
J213142.7-602929,4,fr2,90.5,122.9105,26.2284,76.29303,322.934314,-60.48984267,FR2,322.9278343,-60.4914379,322.927804,-60.491454,21.8362,0,0,0,0,0,0.077462382
J213146.3-595320,4,"fr2,cD",38.8,55.1379,24.8664,15.642246,322.9443115,-59.88837728,FR2,322.9430999,-59.8890001,322.943028,-59.888857,20.5089,0,0,0,0,0,0.000371445
J213148.6-543944,3,frx,23.3,42.09484361,23.55299201,51.34034692,322.9526654,-54.66214386,FRx,322.9525421,-54.6621153,322.952602,-54.662151,21.0906,322.9526166,-54.66214839,0.69530374,1.16E+25,-22.10124757,0.003303886
J213149.4-481037,0,out of field,0,0,0,0,0,0,NA,322.9556532,-48.1769328,322.955674,-48.17695,19.4675,322.9556759,-48.17695386,0.41090164,0,0,-1
J213151.5-493347,0,isolated,0,0,0,0,0,0,NA,322.9645596,-49.5629946,322.964251,-49.562807,22.9549,322.9641794,-49.56279957,0.9000983,6.49E+24,-20.9235481,0.000134957
J213152.6-613029,4,fr2,94.8,130.8461,21.325,346.9868,322.970787,-61.50880329,FR2,322.9689683,-61.5080707,322.968856,-61.50816,22.5066,322.9688359,-61.50817116,0.71843207,3.88E+24,-20.77191907,0.000218062
J213157.9-513827,1,fr2,32.55764119,52.46202332,24.00579408,10.69322281,322.9897932,-51.6422977,FR2,322.9912908,-51.6409692,322.991253,-51.640949,20.2687,322.9912544,-51.64095044,0.6052578,1.01E+25,-22.55727682,0.00448713
J213158.4-582401,4,fr2,30.4,47.6415,16.913,23.59482,322.992788,-58.40078023,FR2,322.993409,-58.4001847,322.99267,-58.400335,24.3504,0,0,0,0,0,0.018008688
J213201.1-534816,4,frx,22.3,45.2106,31.2637,58.49573,323.0048587,-53.80411411,FRx,323.0045021,-53.8043561,323.003783,-53.804328,19.4981,323.0037638,-53.80433264,0.254227,1.08E+26,-21.11478396,0.527696921
J213202.1-495513,4,frx,15.5,38.0396,22.8744,19.440035,323.0074289,-49.91990914,FR1,323.008687,-49.9204156,323.009243,-49.920736,23.2075,323.007711,-49.91988617,0,0,0,0.053416611
J213202.2-483132,1,djs,0,38.39003386,27.88883396,166.4737459,323.0091189,-48.52564977,SINGLE,323.0089958,-48.5255312,323.009014,-48.52551,17.8077,323.0090057,-48.52551472,0.23616074,0,0,0.016762361
J213203.0-582407,4,djs,0,29.9732,23.6359,19.093493,323.0125631,-58.40226887,SINGLE,323.0126195,-58.4018517,323.012681,-58.401857,21.2928,323.0126799,-58.4018477,0.8286647,0,0,0.017668786
J213204.2-571634,1,fr2,98.80129126,123.7117298,31.43566002,158.8033489,323.0184235,-57.27367714,FR2,323.0174699,-57.2759769,323.017477,-57.275988,18.9249,323.0175134,-57.27599481,0.48110798,1.39E+25,-23.30179912,0.010112184
J213204.4-541715,3,frx,21.3,43.00999509,18.91448595,145.8890035,323.018796,-54.28765209,FRx,323.0183431,-54.2876092,323.01827,-54.28751,19.9003,323.016192,-54.2853724,0,0,0,0.002697326
J213205.6-605903,1,fr2,50.15974482,85.60763674,39.07302817,174.876719,323.0253463,-60.98609233,FR2,323.0233782,-60.9840921,323.023638,-60.984116,23.7253,0,0,0,0,0,0.422277575
J213206.5-570351,1,fr1,16.1245155,41.93880734,31.54122103,25.62170675,323.0264209,-57.06407705,FR1,323.0272697,-57.0640851,323.02674,-57.064042,24.3076,0,0,0,0,0,0.024237946
J213207.1-570522,0,isolated,0,0,0,0,0,0,NA,323.0297582,-57.0893384,323.029767,-57.089305,22.6559,323.029743,-57.08929558,1.081365,1.86E+25,-21.71319317,0.025024566
J213207.7-500523,3,fr2,44.5,84.60269773,36.43808295,4.358679268,323.0332344,-50.09174446,FRx,323.0322584,-50.0897355,323.032442,-50.090082,20.9154,323.0324404,-50.09009343,0.5202244,1.81E+25,-21.51438674,0.011554072
J213207.9-502616,0,isolated,0,0,0,0,0,0,NA,323.0329848,-50.4377263,323.033029,-50.437694,20.4761,323.0330296,-50.43769542,0.5011984,4.27E+24,-21.85675528,0.001534179
J213209.4-595351,4,djs,0,37.8925,19.5963,25.016893,323.0395417,-59.89629765,SINGLE,323.039256,-59.8974897,323.039037,-59.897676,20.4887,323.0390273,-59.89767582,0.45733166,0,0,0.000543379
J213211.8-620405,4,fr2,57.8,75.51,18.8803,6.10006,323.0468111,-62.06543501,FR2,323.0493355,-62.0681576,323.049156,-62.068122,22.8779,323.0491612,-62.06811815,0.90236914,1.29E+25,-21.00727586,0.000698472
J213212.0-504440,1,frx,22.8035085,46.73398787,22.72752736,105.6183236,323.047503,-50.74395366,FRx,323.0498476,-50.7444523,323.049784,-50.744412,25.1873,0,0,0,0,0,0.01362342
J213215.5-493643,4,djs,0,62.2502,20.3181,338.89517,323.0635423,-49.61302177,SINGLE,323.064537,-49.6120285,323.064752,-49.611651,21.9633,323.0647758,-49.61166053,0.66236776,5.37E+24,-21.10024723,0.000835603
J213219.9-541958,4,fr2,38.8,64.0087,24.8298,9.782407,323.0827581,-54.33290125,FR2,323.0827101,-54.3326993,323.082765,-54.332653,24.1185,0,0,0,0,0,0.005839765
J213221.7-534824,4,"fr2,cD",35.2,56.4922,22.4766,0,323.0927846,-53.80614918,FR2,323.0903431,-53.8066046,323.090409,-53.80668,22.8857,323.0904885,-53.80559986,0,0,0,0.001614051
J213226.0-584249,3,bt,23.6,36.02335892,20.40430448,73.14801771,323.1106301,-58.71462498,FR2,323.1081674,-58.7135892,323.108156,-58.713638,19.8577,323.1082224,-58.71366165,0.48660335,3.35E+24,-22.39844088,0.002089196
J213229.5-622454,1,"fr2,cD",52.16696295,84.72460482,29.23712978,173.7297784,323.1227514,-62.41505792,FR2,323.1228279,-62.4148907,323.122808,-62.414899,15.4355,323.1227921,-62.41490597,0.09963284,5.34E+23,-22.94320817,0.019365471
J213233.4-491505,1,fr2,0,115.5099007,30.94083284,107.3663958,323.1568462,-49.25133709,SINGLE,323.1391814,-49.2515204,323.139147,-49.251503,17.9009,323.1391488,-49.25150568,0.26819417,2.42E+24,-22.84420978,0.002862089
J213235.3-554105,4,fr2 plus plumes of  diffuse  emission,26.1,49.5712,33.218,324.4623,323.1467376,-55.68492895,FRx,323.146876,-55.6846654,323.146843,-55.684692,15.852,0,0,0,0,0,0.027386319
J213237.4-554801,1,djs,0,37.03788651,32.96890375,154.5943229,323.1624708,-55.80041737,SINGLE,323.1558202,-55.8003276,323.155911,-55.800337,19.7488,323.1559076,-55.80034193,0.46297365,4.4E+24,-22.37847132,0.003456699
J213232.8-571612,4,"fr2,cD",107.7,132.5918,28.9038,113.198591,323.1491404,-57.27347811,FR2,323.1366556,-57.2699817,323.136655,-57.270017,19.519,323.136651,-57.27001346,0.43789837,5.05E+24,-22.46465102,0.003009135
J213245.0-493218,4,fr2,31.1,66.0072,26.1458,327.7055,323.1897765,-49.53887507,FRx,323.1876624,-49.5383209,323.187657,-49.538133,19.8213,323.1876593,-49.53813941,0.5751921,6.29E+25,-22.87094408,0.039829142
J213246.2-601618,1,djs,0,42.40996175,30.79782526,128.7059546,323.1926988,-60.27209906,SINGLE,323.1924779,-60.2717896,323.192467,-60.271754,24.1885,0,0,0,0,0,0.055543866
J213249.9-561607,1,frx,29.12043956,59.57166516,29.76928724,160.7608285,323.2066375,-56.26755404,FRx,323.2078326,-56.268496,323.207753,-56.268395,24.1982,0,0,0,0,0,0.03185308
