This sheet brings together all the data and decides on the classification,,,,,,Min_class=,20,arcsec,Guard-band,5,arcsec,,,,,,,,,
name,validity flag,Comment,A,B,C,PA,RA centroid,Dec centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L_{888},ABS_MAG,flux
J201127.2-534845,1,fr2,20.39607805,49.73712483,27.52000458,99.46945233,302.8651566,-53.81185291,FR1,302.8635101,-53.8123718,302.863576,-53.812312,23.6983,0,0,0,0,0,0.016238026
J201129.5-515921,1,cd fr2,24.41311123,62.11548597,26.01960495,38.02957367,302.8730222,-51.9901677,FR1,302.873076,-51.9891903,302.873627,-51.989342,22.9963,302.8736448,-51.9893331,0.8706894,5.35E+25,-20.79348937,0.010347584
J201143.2-514202,3,frx,13.9,45.22116087,29.79776775,77.32709186,302.9297774,-51.70127427,FR1,302.9301881,-51.7004903,302.930237,-51.700884,23.9618,0,0,0,0,0,0.047729829
J201144.6-494421,4,fr2,82.02,118.594,30.4573,17.795988,302.9373947,-49.73794975,FR2,302.9358663,-49.7391252,302.935879,-49.739081,21.7332,0,0,0,0,0,0.000728487
J201149.0-593157,4,fr2,45.4,69.0376,25.0729,121.607502,302.9554026,-59.53210686,FR2,302.954208,-59.5324001,302.953759,-59.532265,22.4147,302.9537353,-59.53226954,0.88342047,1.23E+25,-21.41382292,0.000262891
J201152.6-503800,4,fr2 ,143.4,175.6794,32.0416,93.4165883,302.999221,-50.63779988,FR2,302.9692338,-50.6331025,302.969231,-50.633089,20.3088,0,0,0,0,0,0.006616055
J201155.5-585603,1,hymors? ,39.84971769,75.66350228,27.31939,162.1323995,302.9803711,-58.93438692,FRx,302.9813372,-58.9342852,302.980704,-58.934229,23.5503,0,0,0,0,0,0.017222718
J201208.0-575936,0,out of field,0,0,0,0,0,0,NA,303.0334369,-57.9933395,303.033386,-57.993343,20.4162,303.0333807,-57.99334303,0.5153296,8.77E+24,-21.98896988,-1
J201214.9-530054,1,fr2,45.68306683,72.59486011,18.29239597,60.32303189,303.0614477,-53.01500682,FR2,303.0619967,-53.0150938,303.062062,-53.015069,22.9755,0,0,0,0,0,0.00584074
J201217.6-514904,4,fr2? ID OK,28.3,49.0103,20.9591,55.8403,303.0724683,-51.81715755,FR2,303.0732884,-51.817823,303.073202,-51.817811,23.0302,0,0,0,0,0,0.004834457
J201218.0-534536,0,complex of blobs,0,0,0,0,0,0,NA,303.0749631,-53.7600596,303.074902,-53.760054,19.7266,0,0,0,0,0,0.026308098
J201221.4-483117,1,fr2,18,36.52456997,20.56999355,3.92565138,303.0895006,-48.52231521,FRx,303.0889777,-48.5214677,0,0,0,0,0,0,0,0,0.004487031
J201233.1-514836,4,djs,135.6,145.9557,29.2939,316.4798,303.1346006,-51.80758138,FR2,303.1380206,-51.8100308,303.137408,-51.809899,20.3611,303.1373971,-51.80990521,0.62590873,0,0,0.00263152
